Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","1990","1990","t","1378.13","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","1991","1991","t","1378.13","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","1992","1992","t","1333.52","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","1993","1993","t","1183.56","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","1994","1994","t","1598.51","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","1995","1995","t","1712.27","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","1996","1996","t","1635.17","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","1997","1997","t","933.06","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","1998","1998","t","1019.31","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","1999","1999","t","1032.69","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","t","1014.81","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","t","748.58","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","t","777.24","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","t","766.28","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","t","619.55","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","t","582.98","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","t","895.21","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","t","1610.01","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","t","1948.96","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","t","2259.94","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","t","2092.91","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","t","2080.63","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","t","1691.82","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","t","1422.57","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","t","1452.14","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","t","1525.17","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","t","1583.06","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","t","2690.91","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","t","4342.22","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","t","5678.8","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","5624.5","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","5048.59","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","4760.64","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","1990","1990","t","297.63","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","1991","1991","t","303.52","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","1992","1992","t","302.35","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","1993","1993","t","274.31","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","1994","1994","t","370.63","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","1995","1995","t","396.1","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","1996","1996","t","380.46","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","1997","1997","t","221.6","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","1998","1998","t","247.15","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","1999","1999","t","251.95","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","2000","2000","t","246.39","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","2001","2001","t","179.8","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","2002","2002","t","185.99","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","2003","2003","t","184.67","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","2004","2004","t","152.05","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","2005","2005","t","146.97","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","2006","2006","t","231.2","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","2007","2007","t","430.33","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","2008","2008","t","543.42","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","2009","2009","t","658.8","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","2010","2010","t","621.09","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","2011","2011","t","615.08","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","2012","2012","t","494.94","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","2013","2013","t","422.21","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","2014","2014","t","443.84","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","2015","2015","t","482.7","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","2016","2016","t","510.18","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","2017","2017","t","870.35","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","2018","2018","t","1398.26","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","2019","2019","t","1817.83","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","2020","2020","t","1799.98","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","2021","2021","t","1615.23","E","Estimated value","Estimated using regional or country shares of pesticides"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1320","Herbicides","2022","2022","t","1525.64","E","Estimated value","Estimated using regional or country shares of pesticides"
